# комментарии в начале строки являются только разметкой задания
# SRC IP ; DEST IP ; HTTP CODE ; HTTP PATH ; RESP BYTES
10.2.3.4;192.168.10.10;500;/post?id=404;131
10.3.4.5;192.168.10.10;200;/healthz;12
10.4.5.6;192.168.10.11;504;/likes?post=404;132
10.5.6.7;192.168.10.11;201;/post/new;15
10.2.3.4;192.168.10.10;500;/post?id=404;131
10.3.4.5;192.168.10.10;500;/post?id=404;131
10.4.5.6;192.168.10.10;500;/post?id=404;131
10.5.6.7;192.168.10.10;500;/post?id=404;131
10.6.7.8;192.168.10.10;500;/post?id=404;131
10.7.8.9;192.168.10.10;500;/post?id=404;131
10.8.9.10;192.168.10.10;500;/post?id=404;131
10.9.10.11;192.168.10.10;500;/post?id=404;131
10.10.11.12;192.168.10.10;500;/post?id=404;131
10.11.12.13;192.168.10.10;500;/post?id=404;131
10.12.13.14;192.168.10.10;500;/post?id=404;131
10.13.14.15;192.168.10.10;500;/post?id=404;131
10.14.15.16;192.168.10.10;500;/post?id=404;131
